Timestamp,X,Y,Z
17-Feb-2025 15:04:17.070,0.412692,4.681215,8.95408
17-Feb-2025 15:04:17.170,0.587079,4.750521,8.142019
17-Feb-2025 15:04:17.269,0.841251,5.012027,8.437803
17-Feb-2025 15:04:17.369,0.790806,4.987628,8.428223
17-Feb-2025 15:04:17.469,0.63962,4.806954,8.393196
17-Feb-2025 15:04:17.568,0.593815,4.797823,8.517438
17-Feb-2025 15:04:17.668,0.469124,4.730912,8.762478
17-Feb-2025 15:04:17.767,0.939297,4.473447,8.451874
17-Feb-2025 15:04:17.867,0.753234,4.672683,8.577014
17-Feb-2025 15:04:17.967,0.682581,4.722829,8.580157
17-Feb-2025 15:04:18.066,0.636027,4.782854,8.629405
17-Feb-2025 15:04:18.166,0.299976,5.107679,8.543334
17-Feb-2025 15:04:18.265,0.181722,4.787195,7.989037
17-Feb-2025 15:04:18.365,0.339045,4.934788,8.395891
17-Feb-2025 15:04:18.465,0.370629,5.093757,8.414003
17-Feb-2025 15:04:18.564,0.332459,5.00125,8.239616
17-Feb-2025 15:04:18.664,0.387245,4.862488,7.995773
17-Feb-2025 15:04:18.763,0.688718,5.080136,8.822204
17-Feb-2025 15:04:18.863,0.479453,5.008435,8.434211
17-Feb-2025 15:04:18.962,0.59142,4.922364,8.535999
17-Feb-2025 15:04:19.062,0.560285,4.940327,8.428223
17-Feb-2025 15:04:19.162,0.691113,4.867877,8.307724
17-Feb-2025 15:04:19.261,0.705333,4.827761,8.471334
17-Feb-2025 15:04:19.361,0.693358,4.891977,8.560099
17-Feb-2025 15:04:19.460,0.786165,4.81384,8.400681
17-Feb-2025 15:04:19.560,0.917143,4.887187,8.480016
17-Feb-2025 15:04:19.660,0.706531,4.843179,9.167536
17-Feb-2025 15:04:19.759,0.610281,4.591702,8.588241
17-Feb-2025 15:04:19.859,0.683778,4.699328,8.291707
17-Feb-2025 15:04:19.958,0.719853,4.997208,9.205108
17-Feb-2025 15:04:20.058,0.352667,4.942272,8.362211
17-Feb-2025 15:04:20.157,0.434097,4.83749,7.610474
17-Feb-2025 15:04:20.257,0.430505,5.157675,8.464747
17-Feb-2025 15:04:20.357,0.637375,5.125042,8.475076
17-Feb-2025 15:04:20.456,0.082928,4.76055,8.00191
17-Feb-2025 15:04:20.556,0.301323,4.782255,8.215815
