Timestamp,X,Y,Z
12-Mar-2025 11:57:21.714,0.001901,-0.006428,0.004521
12-Mar-2025 11:57:21.813,0.000557,-0.004273,0.005567
12-Mar-2025 11:57:21.913,0.005023,-0.00532,0.006981
12-Mar-2025 11:57:22.013,-0.001513,-0.00764,0.004671
12-Mar-2025 11:57:22.112,-0.003259,-0.002591,0.004679
12-Mar-2025 11:57:22.212,-0.002813,-0.005223,0.009364
12-Mar-2025 11:57:22.311,0.00301,-0.003881,0.008528
12-Mar-2025 11:57:22.411,0.002575,-0.003355,0.004879
12-Mar-2025 11:57:22.511,-0.000657,-0.004698,0.004283
12-Mar-2025 11:57:22.610,-0.000248,-0.002765,0.004144
12-Mar-2025 11:57:22.710,-0.003205,-0.005752,0.005477
12-Mar-2025 11:57:22.809,0.001902,-0.007388,0.005563
12-Mar-2025 11:57:22.909,-0.001861,-0.005707,0.007557
12-Mar-2025 11:57:23.008,-0.002382,-0.004907,0.004217
12-Mar-2025 11:57:23.108,0.001424,-0.005316,0.005266
12-Mar-2025 11:57:23.208,0.001572,-0.006742,0.00587
12-Mar-2025 11:57:23.307,0.001978,-0.00518,0.006555
12-Mar-2025 11:57:23.407,-0.003988,-0.004435,0.00577
12-Mar-2025 11:57:23.506,-0.000152,-0.004234,0.005829
12-Mar-2025 11:57:23.606,-0.000561,-0.006318,0.003454
12-Mar-2025 11:57:23.706,0.001272,-0.006801,0.006024
12-Mar-2025 11:57:23.805,0.002736,-0.004107,0.007868
12-Mar-2025 11:57:23.905,-0.00482,-0.003765,0.002713
12-Mar-2025 11:57:24.004,-0.000146,-0.005443,0.005633
12-Mar-2025 11:57:24.104,0.004229,-0.007425,0.007348
12-Mar-2025 11:57:24.203,0.00068,-0.00658,0.00633
12-Mar-2025 11:57:24.303,-0.000864,-0.005205,0.005071
12-Mar-2025 11:57:24.403,0.001805,-0.006885,0.003995
12-Mar-2025 11:57:24.502,0.00415,-0.007675,0.004956
12-Mar-2025 11:57:24.602,-0.001514,-0.00474,0.004717
12-Mar-2025 11:57:24.701,0.002586,-0.002429,0.003764
12-Mar-2025 11:57:24.801,-0.001074,-0.006686,0.003907
12-Mar-2025 11:57:24.901,0.001127,-0.005642,0.00586
12-Mar-2025 11:57:25.000,0.004813,-0.005541,0.005124
12-Mar-2025 11:57:25.100,-0.001316,-0.004432,0.006992
12-Mar-2025 11:57:25.199,-5.5e-05,-0.005744,0.005268
12-Mar-2025 11:57:25.299,0.004191,-0.006408,0.004281
12-Mar-2025 11:57:25.398,-0.001115,-0.003136,0.005305
12-Mar-2025 11:57:25.498,-0.002541,-0.0079,0.004937
12-Mar-2025 11:57:25.598,-0.000214,-0.001574,0.006062
12-Mar-2025 11:57:25.697,-0.002527,-0.004851,0.006857
12-Mar-2025 11:57:25.797,0.002364,-0.006654,0.004334
12-Mar-2025 11:57:25.896,-0.000496,-0.0049,0.003532
12-Mar-2025 11:57:25.996,-0.002173,-0.004283,0.008197
12-Mar-2025 11:57:26.095,-5.6e-05,-0.004187,0.00448
12-Mar-2025 11:57:26.195,-0.001201,-0.004939,0.002607
12-Mar-2025 11:57:26.295,0.001749,-0.00576,0.004538
12-Mar-2025 11:57:26.394,-0.001341,-0.003806,0.003912
12-Mar-2025 11:57:26.494,0.001419,-0.004465,0.003514
12-Mar-2025 11:57:26.593,0.002846,-0.004866,0.006886
12-Mar-2025 11:57:26.693,-0.003528,-0.00386,0.006354
12-Mar-2025 11:57:26.793,-0.004103,-0.006887,0.004234
12-Mar-2025 11:57:26.892,8.4e-05,-0.000867,0.002377
12-Mar-2025 11:57:26.992,-0.001285,-0.007603,0.005793
12-Mar-2025 11:57:27.091,-0.000758,-0.007708,0.005179
12-Mar-2025 11:57:27.191,-0.000694,-0.003219,0.004682
12-Mar-2025 11:57:27.290,0.000479,-0.004471,0.004045
12-Mar-2025 11:57:27.390,0.000631,-0.004686,0.005132
12-Mar-2025 11:57:27.490,0.000261,-0.004222,0.002845
12-Mar-2025 11:57:27.589,0.001025,-0.006531,0.003173
12-Mar-2025 11:57:27.689,-0.003531,-0.006046,0.005428
12-Mar-2025 11:57:27.788,0.001553,-0.000741,0.003704
12-Mar-2025 11:57:27.888,0.000696,-0.002037,0.004583
12-Mar-2025 11:57:27.988,-0.000562,-0.003918,0.006938
12-Mar-2025 11:57:28.087,0.00405,-0.005995,0.008081
12-Mar-2025 11:57:28.187,0.000476,-0.006472,0.007397
